,user,date,comment
0,shiv,02 Dec 2015 08:22 ,Pardon my starting this thread but it looks pretty bad in Chennai. They received more than a month's rainfall in one dayIf people need help to from BRFites (I don't know how we can help) I thought that it os better to start a threadI start with a Indian navy helpline number and follow with some imagesLink to Navy helpline numberhttps://twitter.com/CaptDKS/status/671852827904335873
1,shiv,02 Dec 2015 08:23 ,Chennai airport
2,shiv,02 Dec 2015 08:24 ,Chennai people open doors to strangershttps://twitter.com/ShivAroor/status/671784211800457217Google docs list of abovehttps://docs.google.com/spreadsheets/d/ ... =0&vpid=A1
3,shiv,02 Dec 2015 08:27 ,
4,deejay,02 Dec 2015 09:01 ,Lot of info here plus updates on twitter #ChennaiFloods.https://twitter.com/search?q=%23ChennaiFloods&src=tyah
5,shiv,02 Dec 2015 09:06 ,
6,shiv,02 Dec 2015 09:07 ,https://twitter.com/ARSNitya/status/671894922249678849Nithya Nandam Ars‏@ARSNitya Guys please share this. I have a house vacant. It can accomodate 20 ppl. #ChennaiFloods #chennairains 9043866774(Royapettah)
7,Prem Kumar,02 Dec 2015 09:14 ,"Shiv: thanks for starting this forum!There is a non-missionary NGO called Bhoomika Trust who is doing really good work. My friend works with them directly and vouches for their quality, selfless service during natural disasters. Including below a form they have put together for people to offer monetary & non-monetary helpPage to Volunteer help: https://docs.google.com/forms/d/1sR2MiXskSrNad-BukTNTULiwH9RJXT-WUFoZO3IhNjo/viewformFaceBook page for Rain Relief:  https://www.facebook.com/ChennaiRainRelief2015"
8,kmkraoind,02 Dec 2015 09:52 ,"I have seeing tons of Tweets:- Offering to provide food and accommodation to xx persons in their homes for others.- Offering to recharge their mobile with currencies.- Other good services in their capacity to help others.If SM is just a glimpse, I think good actions on the ground must be x100 or may be more.Now compare this with USA (Louisiana after Katrina). There is complete law breakdown and humans become beasts. Bharath indeed is Dharmic, that is why its civilization stood despite many onslaughts."
9,JE Menon,02 Dec 2015 10:06 ,^^lets not compare with others please. Let's just do and recollect what we have done. Leave it to others to sort out their issues.I hope BRFites in Chennai are ok. My aged parents were there just 3 days ago and managed to leave just in time by good luck more than anything else.
10,kmkraoind,02 Dec 2015 10:17 ,"ANI ‏@ANI_news Current satellite images of Chennai (source: MeT Dept) Judging by those satellite images, expect more downpour in TN and AP. ANI ‏@ANI_news - INS Airawat departs Vizag to Chennai for rescue ops in flood affected area: CG Raju, Navy PRO (Vizag) to ANI #ChennaiFloods- INS Airawat equipped with 5 Jamini boats, 20 divers, lot to relief material, will reach Chennai today late eve or tomorrow morning: CG Raju"
11,Lilo,02 Dec 2015 11:03 ,"OkRains have stopped for the time period since morning.I think there was nonstop thirty six hours of rain before this morning stoppage.Now people are stirring out of their houses, to get provisions etc.But they will again start  is what everyone is saying."
12,Comer,02 Dec 2015 11:42 ,http://chennairains.org/ It's a crowd sourced resource centre for people offering and requiring help.
13,Bob V,02 Dec 2015 13:31 ,I managed to flyout yesterday evening before the airport was shut down. The situation is much worse than what is visible on SM. There is practically no drinking water available anywhere in the city. The Corporation water supply has got contaminated with the sewage flow since Monday. Also power supply has been shut down as a precautionary measure across most parts of the city since Monday evening. Road from IIT-M to Siruseri via OMR has caved in at multiple places.
14,Sachin,02 Dec 2015 13:50 ,"Friends at Vegetable Oil.Co states that some of their offices at Sholinganallur have been flooded. This has forced them to switch of the power supply and DG set as well. Few folks have been actually camping in the office for a day or two as they cannot be evacuated. Read in The Hindu that Centre would be rushing in four companies of NDRF, and I guess Army and the Navy have already been pulled in."
15,ramana,02 Dec 2015 15:18 ,TV was showing Infoysys office being  flooded.Shiv thanks for the thread.  I admonished folks hanging  out  in nukkad  instead of posting here.Sachin  many more NDRF teams each comprising  45 members are being sent. Tirupati  airport is  now nerve  center for IAF operations for C130s and C17s.Nellore and Chittor districts in AP are also flooded.
16,SSridhar,02 Dec 2015 15:51 ,"The rains have restarted after a brief lull of a few hours. Very heavy rains are predicted for today & tomorrow. There is heavy flooding in all the three rivers because Chembarambakkam which was already full is receiving huge inflow from upstream especially from bordering Andhra which is also facing fury. We hope & pray that the four lakes will withstand this onslaught. There are many Chennai corporation workers who are trying to do their best. Hats off to them. My street, which is not prone to flooding had knee-deep water last evening. Milk services are normal, at least in my area. Hats off to those truck drivers and the distributors. MRTS services are running, but Beach-Tambaram, Arakkonam, Gummidipoondi are not. EB power, touch wood, is still available though NLC mines are inundated and 2500 MW power production is hit. God save us."
17,SaiK,02 Dec 2015 16:14 ,"Inundated posts in nukkad on Chennai Floods means we need a dedicated thread for a problem that will happen in every Indian city sometime near or in the distant future. Let us study Chennai Floods, DR and ER issues, and also discuss what we can proactively do for the future. The solution from this thread can move to Tech forum for disaster management.--Please post here instead of nukkad.https://twitter.com/search?q=Chennai+Fl ... r%5Esearch----http://www.newsroompost.com/258599/natu ... y-chennai/Nature’s fury and memories of tsunami in 21st Century Chennai--http://www.business-standard.com/articl ... 225_1.htmlChennai highlights floods are a man-made urban disasterSuccessive governments have failed to address water management problems, leading to sights of boats plying in India's leading auto industry hubGood Politics is required for proactive designs to prevent man-made disasters.---http://www.academia.edu/6500599/Urban_F ... ennai_CityUrban Flood Management – A Case Study Of Chennai City"
18,Kashi,02 Dec 2015 16:59 ,Our urban sewage and drainage systems are a disgrace. They are condemned to remain that way until a major overhaul is taken up which means that the systems are set for years instead of doling out desilting contracts year after year- and therein lies the rub.Chennai residents have my heartfelt sympathy in these trying times. Nature's fury compounded by government insensitivity and callousness has brought us to this situations and its the common folk who end up paying the price once again.
19,UlanBatori,02 Dec 2015 17:11 ,"My sympathies to Chennai residents. Wonder if there is any way to route floodwater into places where it will replenish ground water. For much of the year Chennai and much of TN suffers from water shortage. I hear that California has been experimenting with flooding grape and other orchards and letting the water stand until it seeps in, and the initial results per Scientific America are that the grapes have flourished quite well in pilot tests elsewhere. Indian agriculture naturally depends on rain, but perhaps more should be done now, with so much of the surface taken up with construction. I know, I know... bad thing to be discussing while people are drowning, but that is when the rain water is available..OTOH, what does this do to the famously fragrant canals of Chennai I wonder - isn't this an opportunity to demand a good cleanup, following the natural flushing? Floodwater is no fun, I know - it leaves a thick layer of gross mud even where it is not 50% sewage. I had the joy of trying to clean out the crawl space below my house in the past few weeks following a VERY MINOR flooding from rain runoff - and I am not even 10% of the way into it, already suffering from dust ingestion despite masks etc. Seems so EZ until one tries it on one's hands and knees in a 3-foot high space using a flashlight ...    First iteration of cleanup leaves the concrete floor still with a thick layer of mud...These ""200-year deluges"" are becoming more frequent - or more recognized and reported - around the world. So planners and urban managers have to take these into account, and rainwater redirection I hope is part of that."
20,SaiK,02 Dec 2015 19:18 ,"It is a micro to a macro infra planning issue. We need a comprehensive solution ""STANDARDIZED"" for whole of desh. Let Chennai be the lead for that design.Along with Swacch Bharat, River water inter-linking with turbine-based energy generation, we should consider rain-water harvesting as well as disaster management in preventing floods in any city. The advanced country models are plenty and there is no dearth to designs. What applies for desh is unique considering the problem we have to handle and recover from. This can be done, and by 2020. It all depends on people demand to GoI, for acting fast on this."
21,ShauryaT,02 Dec 2015 19:23 ,"Chennai is not known to have such flooding. One of my relatives reports the water is 12 ft high, they are on the second floor (G+2) and waiting to be rescued."
22,Singha,02 Dec 2015 19:58 ,
23,SaiK,02 Dec 2015 20:01 ,I seriously doubt if rediff took a recent pic of INS Airavat. It could be vizag shot or elsewhere. http://news.rediff.com/commentary/2015/ ... pdates.htm
