,user,date,comment
0,Anujan,15 Mar 2011 08:02 ,My heart goes out to all the Japanese people who are suffering due to this great tragedy. Hopefully relief will be quick and they will come out of this stronger. You can  donate to reputable charities here (please only donate to reputable charities):http://www.unicefusa.orghttp://www.usaid.gov/There is also a crisis response page here:http://www.google.com/crisisresponse/japanquake2011.html
1,Anujan,15 Mar 2011 08:04 ,"I feel that we need a dedicated thread to track the after effects of the 2011 Earthquake and Tsunami in Japan. Rakshaks should post the latest news, lessons that India can learn from disaster management (what went right, what went wrong) and the effect of this disaster on international and Japanese economy.The Steel containment of Reactor no 2 seems to have been damaged. This is a serious issue.Japan Faces Prospect of Nuclear Catastrophe as Workers Leave PlantJapan faced the likelihood of a catastrophic nuclear accident Tuesday morning, as an explosion at the most crippled of three reactors at the Fukushima Daiichi Nuclear Power Station damaged its crucial steel containment structure, emergency workers were withdrawn from the plant, and much larger emissions of radioactive materials appeared imminent."
2,pgbhat,15 Mar 2011 08:13 ,"Safety review ordered in nuclear plants: Manmohan“The Department of Atomic Energy [DAE] and its agencies including the Nuclear Power Corporation of India have been instructed to undertake an immediate technical review of all safety systems of our nuclear power plants, particularly with a view to ensuring that they would be able to withstand the impact of large natural disasters such as tsunamis and earthquakes.”Singh's $175 Billion Nuclear Dream Threatened by Japan Quake “The earthquake is going to reopen the controversial debate over nuclear energy in India,” said Uday Bhaskar, director of the New Delhi-based National Maritime Foundation, a research group. “Democracies are reactive and an accident of this magnitude will raise concerns among the population about the safety of the technology.” “The government brushed aside the safety concerns at the time,” Yashwant Sinha, a BJP leader and former foreign minister said in an interview. “Our entire policy of getting nuclear energy should be looked at afresh. We should now look at safer options because of the dangers involved.” “This event may be a big dampener for our program,” Shreyans Kumar Jain, chairman of India’s state-run monopoly producer, said in a telephone interview from Mumbai March 13. “We and the Department of Atomic Energy will definitely revisit the entire thing, including our new reactor plans, after we receive more information from Japan.” "
3,svinayak,15 Mar 2011 08:56 ,Old technology used in the reactor designComplacancysubmarine tech used in this design
4,svinayak,15 Mar 2011 09:01 ,Add up these dates and you get 9/11/01+ 3/10/11 = 12/21/12 the day﻿ the world is supposed to end. I dont believe it but
5,Singha,15 Mar 2011 11:05 ,"the yellow matter officially hitting the fan...APJapanese ordered indoors in radiation leak crisis(AP) – 22 minutes agoSOMA, Japan (AP) — High levels of radiation leaked from a crippled nuclear plant in tsunami-ravaged northeastern Japan after a third reactor was rocked by an explosion Tuesday and a fourth caught fire in a dramatic escalation of the 4-day-old catastrophe. The government warned 140,000 people nearby to stay indoors to avoid exposure.Tokyo also reported slightly elevated radiation levels, but officials said the increase was too small to threaten the 39 million people in and around the capital, about 170 miles (270 kilometers) away.In a nationally televised statement, Prime Minister Naoto Kan said radiation has spread from four reactors of the Fukushima Dai-ichi nuclear plant in Fukushima state, one of the hardest-hit in Friday's 9.0-magnitude earthquake and the ensuing tsunami that has killed more than 10,000 people, plunged millions into misery and pummeled the world's third-largest economy.Officials just south of Fukushima reported up to 100 times the normal levels of radiation Tuesday morning, Kyodo News agency reported. While those figures are worrying if there is prolonged exposure, they are far from fatal.Kan and other officials warned there is danger of more leaks and told people living within 19 miles (30 kilometers) of the Fukushima Dai-ichi complex to stay indoors to avoid the possibility of radiation sickness.""Please do not go outside. Please stay indoors. Please close windows and make your homes airtight,"" Chief Cabinet Secretary Yukio Edano told residents in the danger zone. ""Don't turn on ventilators. Please hang your laundry indoors.""""These are figures that potentially affect health. There is no mistake about that,"" he said."
6,Purush,15 Mar 2011 13:00 ,"Now we have self-styled 'experts' expertly inserting their feet in their mouth...  http://economictimes.indiatimes.com/new ... 708194.cmsMUMBAI: Top officials of the Department of Atomic Energy today said India's civil nuclear programme will continue without any compromise on safety parameters, and claimed what happened in Japan's Fukushima plant in wake of the deadly earthquake was not a ""nuclear accident"". ""Safety is the overriding parameter and DAE cannot take any shortcut and Indian plants are safe but after analysing the situation in the nuclear reactors of Fukushima, which have been affected due to an unprecedented Tsunami preceded by high magnitude earthquake, we will revisit the safety aspects of our plants,"" top DAE officials said. ""There is no nuclear accident or incident in Japan's Fukushima plants. It is a well planned emergency preparedness programme which the nuclear operators of the Tokyo Electric Power Company are carrying out to contain the residual heat after the plants had an automatic shutdown following a major earthquake,"" said S K Jain, the Chairman and Managing Director of Nuclear Power Corporation.  (WTF is this guy smoking?)Once the plant shuts down after an emergency situation automatically, the fission reaction stops and it is only the residual heat that has to be quenched and that is what the Japanese were doing, Chairman of Atomic Energy Commission, Dr Srikumar Banerjee said. ""Because of the unprecedented Tsunami, the external power was unavailable for the emergency diesel generators to take over... during the process the pressure was building up in the reactor which had to be released in a phased manner, that resulted in the exothermic reaction due to hydrogen generation. ""It was purely a chemical reaction and not a nuclear emergency as described by some section of media,""   Banerjee said."
7,vina,15 Mar 2011 13:04 ,"My respect for the Japanese as a society went up many fold. The true character comes out only in adversity. My word, what a disciplined and highly civilized people. No looting, no untoward breast beating, no emotion charged bleating, all disciplined, orderly and everything and trying to best address a calamity of this magnitude as best as anyone possibly can.Very few societies can behave this way. Consider Unkil, Katrina hammers New Orleans and we have utter chaos and lotting and breakdown of civil society.  If this happens in China, there will  be absolute rioting and turmoil (ever see Chinese try getting into a bus, it is worse than anything you see in India) and absolute chaos. In India there are reports that the Tsunami warning buoys set up by the Govt after the 2004 Tsunami have been ripped apart by fishermen for the metal and the materials. I guess it would be only poetic justice if those fisherfolks are wiped out in a future Tsunami.A Japan like society will bounce back to even greater heights after something like a tragedy of this proportions. I would bet on it. They did it before , after WWII and the nukes at Hiroshima and Nagasaki."
8,vina,15 Mar 2011 13:07 ,"Purush wrote:""Because of the unprecedented Tsunami, the external power was unavailable for the emergency diesel generators to take over... during the process the pressure was building up in the reactor which had to be released in a phased manner, that resulted in the exothermic reaction due to hydrogen generation. ""It was purely a chemical reaction and not a nuclear emergency as described by some section of media,""   Banerjee said.[/quote]He is smoking something very potent indeed. While he is right in the sense that it is not a ""nuclear failure"" technically and the explosions were hydrogen generated when steam reacted with the fuel cladding, this is a classic Loss of Coolant Accident and a failure of safety systems and backups, directly leading to a nuclear incident. Maybe unlike Chernobyl maybe, but an accident where there has been release of radiactivity all the same!"
9,Lalmohan,15 Mar 2011 13:12 ,"the radiation levels are indeed elevated, but still relatively lowthe latest figures i have seen are still around the annual safe dosage levels in a monthif the containment vessel is damaged, that is indeed bad news... however most experts so far are saying that we are a long way from catastrophe.  the media is i fear overhyping the matter - and the markets are reacting now, expect gas prices to rise.  expect germany to scrap or pause its nuclear rejuvination programme, etc., etc.lets hope the engineers get to grips with the problem speedilyto pick up on Vina's point: the japanese are a highly disciplined nation, perhaps they have evolved this way simply because of previous natural disasters?  They have been impressive in swinging into action, and everybody has chipped in - apparently shopkeepers are giving away their stocks to help with relief, etc.  But systemically - it seems that schools function as relief centres, teachers are trained to be relief workers and there are lots of civil defense drills, etc.  i fear that this level of discipline is simply not possible in india"
