user,date,comment
arshyam,16 Aug 2018 21:08,"Kerala has been under severe weather over the past couple of weeks, and most of the state is impacted. Trains are more or less at a standstill, and road networks in the hills are impacted by landslides. Kochi airport has been shutdown. The tragic situation has resulted in almost 90 people dead.I am opening this thread to track rescue and recovery efforts and also to share info among the BRF community.Please add whatever info you are able to find, especially on ways we can help out."
arshyam,16 Aug 2018 21:10,"Kerala rains | Live updates: Kochi airport shut till August 26 - The HinduA view of the Kochi international airport | Photo Credit: Photos courtesy: Indian Navy At least 20 feared dead today in rain-related incidents, taking total death toll to over 87Kerala continues to battle with a resurgent monsoon on Thursday, with cities and villages submerged by floodwaters. The State, which is facing the worst floods in history, saw as many as 67 deaths due to rain-related incidents, 24 on August 15 alone. Additionally, as many as 20 people are feared dead in different parts of the State on Thursday.Flight operations have been suspended till August 18 at Kochi airport and many trains in the Thiruvananthapuram-Nagercoil route have been cancelled due to flooding and landslips. Kochi metro services have been suspended until further notice. Officials said a red alert has been sounded off till Sunday, with heavy rains predicted in 12 districts.From Kasaragod in the north to Thiruvananthapuram in the south, all rivers are in spate and shutters of 35 dams, including Mullaperiyar, have been opened."
arshyam,16 Aug 2018 21:13,"PMNRF - Prime Minister's National Relief FundThe Chief Minister’s Distress Relief Fund - kerala.gov.in. Does anyone know of an official online donation link?Many places in BLR are collecting donations like clothes, etc."
ramana,16 Aug 2018 21:16,I too was thinking of opening the thread too this morning. Looks like the flood damage is quite extensive and Military is part of the rescue efforts.Glad you opened here and not in other forums where it might not get the visibility
UlanBatori,16 Aug 2018 23:22,"Came by e-pata: KHNA - Kerala Flood Relief AppealDear XXXXXX,Hari Om.As you all are aware, our homeland Kerala is undergoing one of the worst natural calamities in the history of the state due to relentless monsoon rains and flooding. As a result, many of our people are having being displaced from their homes, waiting to be rescued and many have even lost their lives. Many organizations are canceling their Onam programs and are collecting funds/clothes /food etc for our people in Kerala.This is the time we come together as one and to do what we can possible to help our people.KHNA is working with Sewa USA where you can donate online.Click the button to donate with Sewa USA campaignKeeping your families and loved ones in our prayers for their safety.Hari OmDr. Rekha MenonPresident, KHNAThe sheer magnitude of the disaster may be gauged from the fact that the KHNA took a break from suing each other and biting each other's asses to actually post a useful link. Seriously, it is a millennial event unless worse happens next year as it probably will. 1924 was a full-fledged cyclone: roofs blew off. But here it is just rain and official nincompoopiness in timing the dam openings to coincide with max damage potential. It's not ""low-lying areas"" flooded any more: it is the entire ground floor of the majority of several districts. Rs. 10 lakh per cent property value areas. And how can you tell that it's the dam release? ""Strong wesward flow"". Water level rose like 3 or 4 feet around 2AM!!!!"
UlanBatori,16 Aug 2018 23:28,"Sure not the time to post this but what the heck: Monday morning quarterbacking is soooo much fun. These ppl (the ophishialdom and Baboon-Mantricracy) seem to have learned *****NOT A THING*** from the Chennai SNAFU of 2015. They sat on their thumbs for days and didn't think about the forecasts, and then opened all the dams to synchronize the peak flooding at 2AM for maximum effect. 115 dead, toll rising with the water levels. I would not be surprised if the top 10 or so are absconding when the levels do down enough for the lynch mobs to arrive at their mansions. Now if the Mullapperiyar dam gives way (I would say 80 percent probability - the rickety thing is shaky in the weakest of monsoons) that may well become 115,000."
Suraj,16 Aug 2018 23:33,"Notwithstanding the exercise of executive power by the judiciary: Reduce water level at Mullaperiyar to 139ft, orders SCThe closure of Cochin International Airport has been extended until August 26."
UlanBatori,16 Aug 2018 23:48,"General request to stay off social media in Malloostan because there are increasing reports of people stranded in rising waters, trying to get through to rescuers and vice versa. I saw someone posting emergency relief numbers on Whastapp and suggesting to CALL THOSE Numbers!! As in Alloooo! Just calling to see if Emergency numbar working onlee! How many ppl are dead so far?I expect the govt to come out with punishments for non-emergency calls to emergency numbers any moment now. Also Baboon are firing off Ophishial Letters DENYING social media reports that MP dam is developing cracks. No comment."
arshyam,17 Aug 2018 6:33,"Relentless rain savages Kerala - The Hindu Toll rises to 156; 12 more NDRF teams rushed; Navy begins airlifting the maroonedWith 91 persons killed in rain-related incidents on Thursday, the toll in the recent rain- and flood-related incidents across Kerala rose to 156. More than 1.5 lakh people have been shifted to 1,200 relief camps.Twelve additional National Disaster Response Force (NDRF) teams, comprising about 540 personnel, are being rushed to the State, in addition to the 18 teams already deployed, apart from contingents of the Army, the Navy and the Air Force. A further 23 NDRF teams will be deployed in the coming days, NDRF Director-General Sanjay Kumar said.Chief Minister Pinarayi Vijayan, who spoke to Prime Minister Narendra Modi and Home Minister Rajnath Singh earlier in the day seeking more Central assistance, said the flood situation was “extremely grave.”“This sort of a situation has never been faced by the State. Areas where floods had never occurred are witnessing inundation,” he said.Rain to continueThe India Meteorological Department has warned of heavy rain for the next 48 hours in the State.Army, Navy and Coast Guard teams were pressed into rescue operations as families clambered on to roofs to escape the rising Pampa river. Ranni, Kozhenchery, Aranmula and Thiruvalla in Pathanamthitta district were isolated as the river breached its banks. The Navy airlifted stranded citizens from Aluva, Perumbavur, Thrissur and Pathanamthitta after social media was flooded with distress messages.Many of the marooned families, including senior citizens and infants, have been without food, water and electricity since Wednesday.A major landslip at Vettilapara in Eranad taluk in Malappuram claimed the lives of eight persons. Landslips and floods occurred at several places in Idukki and the high ranges in the district remained cut off for the second day following heavy rains.Another massive landslip occurred at Amabayathode in Kottiyur village in Kannur, causing extensive damage to crops and property. Local people have been directed to relocate to safer places. The Attapady tribal belt and Nelliyampathy hill station were isolated following a series of landslips on Thursday morning.Patients in hospitals and students in college hostels were among those marooned by floodwaters. Hundreds of students were marooned at the Sree Sankaracharya University of Sanskrit in Kalady near Kochi. A high alert was issued for residents along the banks of the Chittur river after Tamil Nadu prepared to release 11,000 cusecs of water from the inter-State Aliyar to Palakkad.The Periyar, Chalakudy, Bharathapuzha, Kunthipuzha and Bhavani rivers were in spate. Kochi city remained tense as waters from the Periyar began invading more areas along the banks in Ernakulam.The district administration has begun evacuating people.The Kochi Metro services were suspended after the yard at Muttom was flooded. Traffic along the Kozhikode-Bangalore, Kottayam-MC road, Kottayam- Kattapana and Kalady MC roads was disrupted and vehicles stranded at many locations.(With PTI inputs)"
arshyam,17 Aug 2018 6:36,"More rain on the way...https://www.imdtvm.gov.in/NOWCAST: 17-08-2018Time of issue 0400 IST (Valid for next 3 hours)Heavy rain accompanied with gusty winds, speed reaching 60 kmph is expected in Thiruvananthapuram, Kollam, Pathanamthitta, Kottayam, Idukki, Ernakulam, Thrissur, Palakkad, Malappuram, Kozhikode & Wayanad districts.Fishermen Warning for Kerala coast and Lakshadweep area (For next 24 hours valid from 0000 Hours IST of 17th August 2018)Strong winds mainly from Westerly direction speed occasionally reaching 35-45 kmph gusting to 60 kmph likely along and off Karnataka coast, North Kerala coast and over Lakshadweep area.Strong winds from Westerly direction speed occasionally reaching 35-45 kmph gusting to 55 kmph likely along and off south Kerala coast.High wave warning from INCOIS:High waves in the range of 3.5 - 4.0 meters are forecast during 17:30 hours on 15-08-2018 to 23:30 hours of 17-08-2018 along the coast of Lakshadweep Islands from Minicoy to Bitra, along the coast of Kerala from Vizhinjam to Kasargod. and along the coast of Karnataka from Mangalore to Karwar. Sea condition is likely to be rough to very rough over Southwest and central Arabian sea.Fishermen are advised not to venture into sea over Karnataka, North Kerala coasts, over Lakshadweep area and Southwest & central Arabian sea."
arshyam,17 Aug 2018 6:37,"Suraj wrote:Notwithstanding the exercise of executive power by the judiciary: Reduce water level at Mullaperiyar to 139ft, orders SCThe closure of Cochin International Airport has been extended until August 26.TN should reduce the water level if that gives some comfort to the affected people. However, it has to be done carefully given that the Periyar is already in spate and further release will only make things worse."
arshyam,17 Aug 2018 6:39,
arshyam,17 Aug 2018 6:44,"Kerala rains: Helpline numbers for stranded Cochin airport passengers Aviation regulator Directorate General of Civil Aviation (DGCA) has set up a 24X7 control room to help air travellers stranded due to suspension of flight operations at Kochi.The Kochi airport is shut for flights until August 18 due to heavy rains and flooding of the operational area. Airlines have been asked to divert their flights to and from Kochi to nearby Thiruvananthpuram and Calicut airports as well as not to raise airfares disproportionately.""The Ministry of Civil Aviation and the domestic airlines will be extending full support to the State Government of Kerala in airlifting food items and other relief material free of cost on their scheduled services, subject only to operational constraints, if any,"" wrote Suresh Prabhu, the Minister for Civil Aviation, on Twitter.Meanwhile, the scheduled flights of the domestic airlines to and from Trivandrum and Calicut airports from August 16 have been monitored through Integrated Operational Control Centre (IOCC) of the airlines.The DGCA control room received the following queries from the public: Re-scheduling status of flights, which was addressed after referring to the revised schedule submitted by the airlines for 16th August, 2018. High fare, especially on Delhi-Trivandrum sector. Concerned airlines were advised to keep a check on the fare and cap the maximum fare on Delhi-Trivandrum sector to ₹10,000. Airlines have also been advised to check the fares on other flights going to Trivandrum and Calicut.The control room has spoken to Cochin airport for latest update on the weather. It has been informed that water level inside the airport continue to rise and heavy rain is predicted till Saturday.The control room can be reached through the following DGCA personnel: Mr. A.X. Joseph, Dy. Dir.: +91-9871007874 Mr. Atul Maindola, Dy. Dir.: +91-9999069074 Mr. Kaushik Mukhopadhyay, Dy.Dir.: +91-8586094546 Mr. Brijesh Kumar Singh, Ae.O.: +91-9717307448 Mr. Ekshwaku Nandan Srivastava, Ae.O: +91-9990474145“Due to heavy rains in Kerala, operations to/from Cochin airport have been suspended from August 15 to 18 on account of water rising in the operational area,” an official release from DGCA said. “However, Trivandrum and Calicut airports are available for scheduled operations. For international operations, both immigration and customs facilities are available 24X7 at these airports. Trivandrum airport can also accommodate wide body aircraft,” it added.The press release went on to add that scheduled domestic airlines have been advised to reschedule their flights to/from Cochin to Trivandrum and Calicut airports till the situation at the Cochin airport returns to normal. The domestic airlines have also been advised to operate relief flights to Trivandrum/Calicut for passengers of diverted flights who have landed at Bangalore, Coimbatore and Chennai on August 15 morning instead of Cochin.Meanwhile, flights of foreign airlines including Air Arabia, Emirates, Etihad, Fly Dubai, Jazeera, Oman Air, Qatar, Saudia Airlines and Srilankan have been rescheduled for Trivandrum airport. Foreign airlines like Air Asia Berhad, Gulf Air, Kuwait Airlines, Malindo, Scoot, Silk Air and Thai Air Asia have suspended their flights to/from Cochin.Passengers may reach to the airlines at following contact numbersDomestic AirlinesAir India and Air India Express: +911149637728/+911149637693/+911149637714Air Asia: +918046676713Air Vistara: +919899451962Go Air: +912267420154/+912267420156IndiGo: +919560049400/+911246674040Jet Airways: +912266075545Spicejet: +911243913933Foreign AirlinesOman Air: +919846243130/+918594013197Saudi Arabian: +914844028901Fly Dubai: +918606580717Air Arabia: +919895345000Jazeera: +919885144427Qatar: +914842611304/+914842611305/+919961439666Emirates: +919846523454Malindo: +918527266466Air Asia Berhad and Thai Air Asia: +919995319187Scoot: +919742710404Srilankan: +919847064064(With inputs from Jagrati Chandra)"
arshyam,17 Aug 2018 6:46,"Centre to scale up relief measures in Kerala National Crisis Management Committee takes stock of the grim situation in flood--ravaged StateA high level committee headed by the Cabinet Secretary met on Thursday and decided to scale up relief and rescue operations in flood-hit Kerala by involving the three defence services and other agencies.Chaired by Cabinet Secretary P.K. Sinha and attended by chiefs of the three services, secretaries of home, defence and others, the National Crisis Management Committee (NCMC) took stock of the prevailing situation in Kerala and directed all concerned to ensure continued assistance to the State government to meet the crisis, a Home Ministry spokesperson said.PM’s directiveThe meeting was held following a directive of Prime Minister Narendra Modi, the spokesperson said. He said so far, 2,182 persons have been rescued and 968 stranded people were evacuated.The Central government has been providing full support to Kerala and has launched massive relief and rescue operations in the State, the spokesperson said.In the meeting, the Cabinet Secretary pressed into service all the forces — Army, Air Force, Navy, Coast Guard, National Disaster Response Force and other Central armed police forces (CAPFs) — and directed that all possible assistance be provided to Kerala for relief and rescue operations.Relief materialThe Cabinet Secretary also directed that relief material including supply of drinking water, dry food packets and powdered milk should also be made available to Kerala, the spokesperson said.For proper reservoir management in the Mullaperiyar Dam, the NCMC constituted a committee led by the Chairman of the Central Water Commission and engineers-in-chief of Tamil Nadu and Kerala.As of now, 18 teams of the NDRF, 9 columns and 8 teams of the Engineering Task Force of the Army, 22 teams of the Coast Guard, 24 diving teams of the Navy along with helicopters, aircraft, boats, equipment, life buoys, life jackets, etc., have been dispatched to Kerala in rescue operations as well as evacuation of stranded people.Medical assistance is being provided by the NDRF, the Army, the Navy, including special medical camps. So far, 2,182 people have been rescued, 968 stranded people have been evacuated by the forces.The Prime Minister spoke to Kerala Chief Minister Pinarayi Vijayan on Thursday morning and discussed with him the flood situation.Union Home Minister Rajnath Singh too had a telephonic conversation with Mr. Vijayan.During his visit to Kerala on Sunday, Mr. Singh had announced a ₹100 crore immediate assistance package."
arshyam,17 Aug 2018 6:47,Kerala rains | Live updates: Modi to visit Kerala tomorrow after Vajpayee funeral
arshyam,17 Aug 2018 6:49,"Does anyone know if this is an official site? https://keralarescue.in/It has a logo of the Kerala govt, but I am trying to verify before contributing.EDITThe above site led me to the online version of the CM's disaster relief fund: https://donation.cmdrf.kerala.gov.in/"
UlanBatori,17 Aug 2018 7:06,"Resuming flights would be cruel because there is no way to get to the airport, for most people. Most highways are cut off. Reminds me of when my mom was stranded with me and little sis in Tiruchirappally during the ""Hindi Ozhika!"" riots because our train reached 12 hours late (with pilot train and armed escort because rail stations and policemen had been burned the night before), about 2 hours after the plane to Sri Lanka had taken off. I still remember the pompous Indian Airlines asshole: Our plane cannot wait for Your train!Man, that landslide is terrifying! I have seen some imaginary landslides in the Mowgli movie but this is one is real life and looks even more horrifying. Those are full-grown trees becoming missiles. Earth moving like ocean breakers!"
UlanBatori,17 Aug 2018 7:18,"The gyan I hear from veterans (with close govt. experience!) is that donations to the CM's fund will go to CPIM/DYFI kitty and Onam celebrations for Party hacks. Save your money. Right now I do not believe there is any shortage of money, just very little mobility. Need for money may come later. SEWA is raising money (see KHNA link above) and they are good at grassroots relief. Someone said Kerala govt is raising price of hooch (main source of revenue) to fund relief. Now THERE's one way to spell Relief...I have a seriously bad feeling about Mullapperiyar dam. They've let that nonsense go on for waaaay too long. In every normal monsoon that thing has been on the verge of collapse, and now we have a 100-year cataclysm. I just don't see how it is going to survive, even the earthen base of the dam is in danger of dissolving. Wonder what I'll see in the news when I get up tomorrow or Saturdin. When the govt publishes Ophishial Letters saying IT IS FALSE TO SAY THAT THERE ARE CRACKS DEVELOPING IN THE DAM, it is time to run for high ground. Entire districts, let alone cities, are under water. I bet the main train route has tunnels that are underwater, and bridges are near collapse/washaway. National highway is mostly underwater except the raised parts. In some places people taking refuge on the ""first floor"" meaning the one about the ground floor, are in danger of being swept away. Hospitals are being evacuated. Good thing some of the schools have upper floors and are built of concrete."
mappunni,17 Aug 2018 8:02,"UlanBatori wrote:The gyan I hear from veterans (with close govt. experience!) is that donations to the CM's fund will go to CPIM/DYFI kitty and Onam celebrations for Party hacks. Save your money. Right now I do not believe there is any shortage of money, just very little mobility. Need for money may come later. SEWA is raising money (see KHNA link above) and they are good at grassroots relief. .UlanBatoriji, Many folks from Kerala too, frown upon giving to the Kerala CM fund as you have rightfully mentioned it will end up in Commie fund.Some people in the local Guruvayurappan temple to floated the idea of toning down the Onam celebration and instead diverting some of the $$$ for the flood victims and provide it to KHNA.And yes, KHNA is doing something good."
ramana,17 Aug 2018 9:13,"Dileep,How are you doing? Safe?"
Dileep,17 Aug 2018 11:17,"Report from Ground One (10 kliks away from Ground Zero):The entire Periyar basin water rose by at least 10 metres. NH66 from Kalamassery all the way to Thrissur is waterlogged except the flyovers. The only remaining northward connectivity from Kochi is via the coastal road from Vypin to Munambam. The entire Chalakudy basin is also under metres of water. The Manali/Kurumali basin to the north is also totally flooded, with the water flowing over the NH.Muvattupuzha basin is flooded at the Muvattupuzha area. The downstream areas of this system seems to be doing slightly better than the others as I gather from the severity reports.Pamba basin is practically gone. This is because this is a narrow one with heavy population on the banks.Sabarimala Temple is isolated, with the chief priest and assistants there. No way for devotees or anything else to reach there. The CT here is that Lord Ayyappa got angry on the supreme court case for women entry, and asserted his supreme authority by denying access to everyone.The only link to Munnar is the police wireless. No information forthcoming.It is going to take several months or even upto an year to recover and rebuild.The CM of Tamil Nadu has shown his culture. Enough said. I don't want to restart the fight now.My place is practically on the ridge between the Periyar system and the much smaller Kadambrayar system. We are safe currently. God forbid the Ramshackle dam breaks. Then, probably it is KYAGB onlee."
