user,date,comment
rirumore,28/09/2018,"oh my god. this is actually taken from parking lot of a mall called Palu Grand Mall. my house is not far from here and actually near the coast too, the right side of the bay taken from this video. In fact Palu is a small city and surrounded by bay and mountains. I hope my family safe and can evacuate to higher ground. thank god finally they could contacted me. only for 3 minutes tho but it made me a bit relief knowing them safe. they are still staying outside of the house, earthquake still happening as I am writing this, with smaller scales. 5 SR, still worrying tho"
threebellies,28/09/2018,"May our creator be with any of those impacted by this. Love from North America to the people of Indonesia, and any other south East Asian countries impacted."
iryaaa,28/09/2018,"Dude are you from Palu? I've been looking for news and official reports from either BMKG or govt. spokesman and I think the tsunami is just in a small scale so nothing to worry about from the shore. Confirmed by govt Spokeswoman, tsunami was real, reached 3 meters high.
My thoughts and prayers for you and your family, hope they're safe."
rirumore,28/09/2018,"yeah, most of my families except my brother and sister are in Palu. Currently I'm living in Jakarta and keep contacting with my sister. I'm 100% sure this video is real, because I know that mall, and it's true it's located right in front of the shore. Yeah it's a small scale but my house is only like 200-300 meters from the shore too, enough to make me really worry. But there is nothing I can do except praying for the best and keep up with the news. Thank you for your kindness. thank god finally they could contacted me. only for 3 minutes tho but it made me a bit relief knowing them safe. they are still staying outside of the house, earthquake still happening as I am writing this, with smaller scales. 5 SR, still worrying tho"
jbrandyberry,28/09/2018,I hope your family is safe.
rirumore,28/09/2018,"thanks dude, that's just how i express things through text, so i hope everyone bear with me"
jbrandyberry,28/09/2018,"Yea we all know what you meant. Shit, I've heard of grammar nazis before, but apparently we have emoji nazis now. Fuck all that bullshit. Everyone with an ounce of common sense knew what you meant. Again, I hope everything is alright with your family out there"
jbrandyberry,28/09/2018,"Now I don't know if you mean ""fake"" as in the timing is wrong (i.e. previous tsunami) or whether you mean someone used CGI to make this video, but the location is as good as verified as you can get."
kazuasauras,28/09/2018,stay safe bruh
satire,28/09/2018,Looks like Palu is where it hit. I believe this is the location of the filming of the first video. Approximate location of the cameraman. Zoomed out to show city. It has also been speculated that the shape of the bay might have played a role in increasing the severity and size of the tsunami. Zoomed out to show entire bay. Epicenter of earthquake and location of Palu. They probably had very little warning
rirez,28/09/2018,"Just to add some of the nuance, it wasn't even just a couple quakes... Oh no, the whole area got freaking carpet bombed. Just powerful quakes repeatedly for five hours."
giraffenmensch,28/09/2018,Yeah. It's horrible! Many people instinctively run outside during a large quake like that. Especially in a place like Indonesia where many buildings are not build to code and people would feel safer outside than trusting the structure. Then the tsunami got would have hit.
angrygroceries,28/09/2018,"Not only that, but after the quakes local authorities said ""no chance of tsunami. So people relaxed a bit, and then this."
syhr8,28/09/2018,"That is a very large tsunami for the magnitude and mechanism of the quake. Local bathymetry and topography can play a big part in amplifying the effects. Palu is at the top of a bay, which can focus the energy of the tsunami."
semantiks,28/09/2018,"That's crazy, I would expect it to lose energy bouncing around that narrow bay unless it came right down the line (Oh, apparently it did). What are the odds man, that's brutal. The bay that normally sheltered them from rough seas is basically a megaphone from the one direction, and thats where the quake happened."
surfnaked,28/09/2018,"That bay looks pretty deep, so if it's a straight shot, looks like it is, that would be focusing the tsunami like a hose nozzle. This is a real disaster. I hope as many as can be are safe"
Leberkleister13,28/09/2018,"Unbelievably hard to find anything on TV, all the news channels where I live are doing live coverage of the US Supreme Court circus."
SpasticCoulomb,28/09/2018,"Bbc world did coverage, alongside the facebook hack, though most of their program was congress fracas."
khavi,28/09/2018,I'm amazed I only heard about this an hour ago. I've been checking Twitter all day (which is usually pretty good for breaking news) and it's been dominated by the Kavenaugh hearing. The tsunami totally flew under the radar
Necrosis_KoC,28/09/2018,"Judging by the water in the streets when it hits, that wasn't the first wave..."
satire,28/09/2018,I'm scared that there might be heavy causalities due to how close this city was to the epicenter. Very little warning time.
iryaaa,28/09/2018,"I cannot confirm this information, afaik based on our BMKG (=USGS), the tsunami alert had been called off but some sea waves resulted from the major quake did some damage to the shore.

In other words, tsunami might had occured albeit in a small magnitude.

e: tsunami was real, 3 meters high.

Also the news mainly covered about damages on the mainland/cities and not on the shore."
surfnaked,28/09/2018,If you look at the shape of the bay and location of the quake. They might as well have been looking up the barrel of a gun.
Semantiks,28/09/2018,That last one looks like it was taken from a boat at sea that tried to return to Palu after the quake... to find this.
djmftw,28/09/2018,"That hit SO HARD....

It just takes one moment in time for total chaos. This is awful."
satire,28/09/2018,The epicenter was just north of the bay. They likely had very little warning time.
freshpicked,28/09/2018,Those poor people.
realpoopy,28/09/2018,It looks like the top of a mosque fell off
whatagee,28/09/2018,I'm confused as to where the people were running in that twitter video when they were already on the highest elevation it seemed like?
tryoxin,28/09/2018,I have never actually watched a tsunami hit. Fuck.
iamdwilight,28/09/2018,Fuck that's horrifying.
caliguardgirl,28/09/2018,Oh my god this....is terrible.
steakandshake,28/09/2018,Fuck...
serena,28/09/2018,I wish the person would've filmed horizontally.
