,user,date,comment
0,harbans,11 Oct 2013 21:06 ,"Super Cyclone Phailin packing winds up to 300 kmph is to hit Eastern Coast India in a few hours time. If you have latest info post here. If you have emergency numbers post them here. There is a big difference between sustained and gust wind speeds. Gusts may be upto 1.5 times the sustained wind speeds. IMD is reporting mostly sustained wind speeds. NEW DELHI: The weather office may be underestimating the severity of a cyclone which is hurtling towards the east coast, a meteorologist warned on Friday, adding that it could be worse than Hurricane Katrina which devastated parts of the United States in 2005.Cyclone Phailin is forecast to hit the coast between Kalingapatnam in Andhra Pradesh and Paradip in Odisha late on Saturday with a maximum wind speed of 220kmph (135mph), the India Meteorological Department (IMD) said in its latest bulletin.However, both London-based Tropical Storm and the US navy's Joint Typhoon Warning Centre forecast winds reaching 315kmph (195mph) on landfall, classifying Phailin as a Category 5 storm — the most powerful .""Phailin is already worse than what the IMD is forecasting. A recent satellite estimate put Phailin's current intensity on par with 2005's Hurricane Katrina in the United States,"" said Eric Holthaus, meteorologist for Quartz, a US-based online magazine which covers global economy-related issues.""Everything I know as a meteorologist tells me this is the equivalent of a Category 5 hurricane — among the strongest on earth in 2013. That would mean Phailin could be the strongest cyclone ever measured in the Indian Ocean.""http://timesofindia.indiatimes.com/indi ... 983892.cms"
1,harbans,11 Oct 2013 21:16 ,"Some Emergency numbers are here:The government has also announced two emergency control room numbers - 08942 240557 and 9A652838191 in Srikakulam district, while a toll free number 180042500002 was announced as the Phailin emergency number. Poosapatirega mandal tehasildar V Padmavathi in Vizianagaram district has already instructed fisherfolk to not venture into the sea till further instructions. State minister for revenue, relief and rehabilitation, N Raghuveera Reddy, held an emergency videoconference with all the district officials on Thursday and directed them to alert the defence forces for taking up rescue work. He also appealed to the striking employees to participate in the rescue and rehabilitation work.Ganjam (Odisha)	06811-263700 (O) 06811-263800 (R) 06811-263344 (Fax) Email: origan@nic.inKhurda (Odisha)	Phone: 06755220001 Fax: 06755220001 Email: dm-khurda@nic.inPuri (Odisha)	06752-222034 (O) 06752-224257 (O) 06752-222033 (R) Fax: 06752-223939 Email: dm-puri@nic.inJagatsinghpur (Odisha)	Phone: 06724-220379 Fax: 06724-220379Srikakulam (Andhra Pradesh)	08942-222555 (O) 08942-222565 (R) Email: collector_sklm@ap.gov.inVizianagaram (Andhra Pradesh)	08922-276720 (O) 08922-276177 (R) Email: collector_vznm@ap.gov.inVisakhapatnam (Andhra Pradesh)	0891-2563429 Email: apvis@nic.inhttp://www.mapsofindia.com/maps/mapinne ... ailin.htmlhttp://timesofindia.indiatimes.com/indi ... 940996.cms"
2,harbans,11 Oct 2013 21:17 ,
3,vishvak,11 Oct 2013 21:17 ,Some more infolink
4,Comer,11 Oct 2013 21:20 ,"NDMA website:http://ndma.gov.in/ndma/index.htmlApart from this ticker nothing much is visibleAlert:- Very Severe Cyclonic Storm, PHAILIN over East central Bay of Bengal:Cyclone Warning for North Andhra Pradesh and Odisha Coast.It would move northwestwards and cross North Andhra Pradesh and Odisha coast between Kalingapatnam and Paradip, close to Gopalpur (Odisha) by evening of 12th October, 2013 as a very severe cyclonic strom with a maximum sustained wind speed of 205-215 kmph.(Source - IMD).IMD website: Very slow and possibly avoid using this, lest adding more loadhttp://www.imd.gov.in/section/nhac/dynamic/cyclone.htmA animated version of the gathering cyclone:http://www.ssd.noaa.gov/PS/TROP/floater ... -long.htmlWeather Underground's estimated path maphttp://www.wunderground.com/wundermap/? ... ms=0&pix=0This twitter account seems to be on top of things:https://twitter.com/EricHolthausEDIT: Oriya TV's twitter feed:https://twitter.com/otvnewsWhat is a super cyclone:http://in.news.yahoo.com/what-is-a-supe ... 53927.htmlGoogle's People Finderhttp://google.org/personfinder/2013-phailin"
5,Suraj,11 Oct 2013 21:22 ,"Preparations:Odisha, AP geat up evacuation as Phailin approachesMassive evacuation operations are underway in Odisha and Andhra Pradesh to shift people from low lying areas to safer places as a severe tropical storm nick named Phailin advanced menacingly towards the eastern coast.The cyclone, which lay centred at 500 kms south-southeast of Paradip in Bay of Bengal at 1130 hrs, will cross north Andhra Pradesh and Odisha coast between Kalingapatnam and Paradip close to Gopalpur tomorrow evening.The met department predicted heavy to very heavy rain fall, measuring upto 25 cm and squally winds with maximum sustained wind speed of 210-220 kms per hour at many coastal districts of the two states after the storm makes a landfall.While the Paradip Port Trust (PPT) authorities, as a pre-cautionary measure, has stopped cargo handling operation and removed the vessels from the port area to safe areas, Visakhapatnam port is working normally.""If any message come from meteorological department then we will take steps to move the vessels from berths to roads"", port officials told.In Odisha, steps are being taken to evacuate five lakh people from vulnerable areas. The collectors of the coastal districts have been directed to ensure zero casualty and evacuate people from low lying areas to cyclone shelters by today evening, said PK Mohapatra, state special relief commissioner.The Andhra Pradesh government has put collectors of all the nine coastal districts in the state on high alert and ordered evacuation of 64,000 people from low-lying areas.State revenue minister, N Raghuveera Reddy, who reviewed the situation, said that about 40,000 people in Visakhapatnam, 2,000 in Srikakulam and 4,000 in Vizianagaram districts were being evacuated on Friday. About 850 cyclone shelters were identified to accommodate the distressed people.While the Odisha government has cancelled the Puja holidays of all government employees, the government employees and the staff of power utilities in Andhra Pradesh, who were on a strike in protest against the proposed bifurcation of the state, have withdrawn their in view of the impending cyclone.Round-the-clock control rooms have been opened at state, district and mandal levels in the two states to monitor the situation. Fishermen, who had ventured into the sea, have been asked to return to the coast.The cyclone is expected to wreak extensive damage to kutcha houses, standing crops and power and communication lines and cause disruption of rail and road traffic.The vulnerable seven districts in Odisha are Ganjam, Gajapati, Puri, Jagatsingpur, Kendrapara, Nayagarh and Khurda. Besides, evacuation orders have also been given for Bhadrak and Balasore districts. Odisha chief minister Naveen Patnaik appealed to the people not to panic and called for united efforts to fight the impending calamity.Navy, Air Force, National Disaster Response Force (NDRF) and Odisha Disaster Rapid Action Force (ODRAF) are ready for relief and rescue operations, Patnaik said.The Bhubaneswar met office has asked to hoist Local Cautionary Signal Number Three (LC-III) at all ports in Odisha and signalled Cyclone Warning-10 for the state coast.The storm surge with height of around three meter above astronomical tide would inundate low lying areas of Ganjam, Khurda, Puri and Jagatsinghpur districts of Odisha during landfall, it predicted.About 28 NDRF teams are put to operation in the state to carry out the rescue and relief operations.Phailin likely to hit coast at 6 p.m. tomorrowCyclone Phailin — the biggest cyclone in years to hit Odisha — is expected to make landfall near Gopalpur in Ganjam district in the eastern State after crossing an area between Paradip in Odisha and Kalingapatnam in Andhra Pradesh.Five districts were in the eye of the storm with IMD chief Dr. L.S. Rathore identifying Ganjam, Khurda, Puri and Jagatsinghpur districts in Odisha and Srikakalum in Andhra Pradesh as those that is likely to be worst hit.Mr. Rathore said the cyclone storm over east central Bay of Bengal currently lay 450 km southeast of Gopalpur and warned that it will be accompanied by a storm surge of up to three metres in the districts that will bear the brunt.The Odisha health department cancelled holidays and leaves of all doctors in view of the impending situation even as the State government set a target of “zero casualty” and ordered speedy evacuation of people in seven coastal districts.The East Coast Railway planned to regulate and cancel about 24 passenger trains between Visakhapatnam and Bhadrak on the Howrah-Chennai Main Line route on Saturday.64,000 evacuated in A.P.Authorities began evacuating 64,000 people from the low-lying areas of three vulnerable districts in Andhra Pradesh, State Revenue Minister N. Raghuveera Reddy said.Emergency food supplies and shelters for people expected to flee the heavy winds and rains were also being readied in the vulnerable districts. Disaster management teams were also kept in readiness.Odisha government set a target of “zero casualty” and ordered speedy evacuation of people in low-lying areas in seven coastal districts which is home to lakhs of people.Defence Minister A.K. Antony ordered the Armed Forces to be ready to move in to Odisha and Andhra Pradesh.Two IAF IL-76 aircraft have already airlifted NDRF teams and equipment to Bhubaneshwar.Chief Secretary J.K. Mohapatra said the government has also directed opening of free kitchens from this evening for the people who would be evacuated to safe shelters. “Dry food should be kept reserved for the next day,” he said adding that the teams for clearing of roads must be kept ready with all required equipment.“They (road clearing team) must be visible on roads just after the cyclone passes away and they should clear the roads within 12 hours of cyclone,” Mr. J.K. Mohapatra said in his directive.NHAI authorities have also been mobilized for clearing of National Highways, officials said adding that police have been asked to strengthen patrolling on NH for smooth passage of vehicles carrying relief materials.“We are making necessary arrangements for air dropping of food packets. Specific teams have been constituted for the purpose who are busy making food packets for 1 lakh people,” a senior officer at the Special Relief Commission’s office said.“Apart from road cleaning, power and water supply should also be restored within 24 to 48 hours,” Mr. J.K. Mohapatra said adding that the Food Supply department has been instructed to place enforcement squads in each district to ensure that essential commodities were not hoarded or over priced by unscrupulous business men, retailers and wholesellers.Energy Secretary Pradeep Kumar Jena informed that all executive engineers have been kept in readiness and all section offices of distribution companies have been kept ready with teams consisting of 15 to 20 members and necessary material for restoration of power supply.Mr. Patro has also directed that the services of any government officer who remains absent and does not perform the assigned duties, will be terminated with immediate effect.Meanwhile, the state government held a meeting with NGOs and gave specific responsibilities. “The NGOs are told to to mobilise people for evacuation and to assist in the process of providing them necessary services at safe shelters,” Mr. Patro said.The minister suggested to the Special Relief Commissioner to spell out the material to be accepted as relief from donor agencies, NGOs and individuals.Kalinga stadium here is being used as state relief distribution centre.Meanwhile, the health department cancelled holidays and leaves of all doctors in view of the impending situationPreparations so far look quite good. I hope the aftermath is much more positive than the 1999 supercyclone."
6,harbans,11 Oct 2013 21:23 ,Monstrous!
7,Comer,11 Oct 2013 21:24 ,
8,vishvak,11 Oct 2013 21:32 ,Not seen such a big Chakravaat near Indian ocean. There was one on western coast about 250km from the coast going northwards to paki/Iran and sea at Mumbai coast was wild if I remember clearly.
9,nawabs,11 Oct 2013 21:53 ,"Cyclone Phailin is half the size of India and strengthening quickly as it heads for landhttp://qz.com/134028/cyclone-phailin-is ... -for-land/By Eric HolthausThe Joint Typhoon Warning Center (JTWC), a Hawaii-based forecasting outpost of the US Navy, says Phailin is undergoing “extreme rapid intensification.” While strengthening, the storm has grown to nearly half the size of India itself (image via University of Wisconsin): The storm’s growth, both in size and in strength, is expected to continue until landfall. The latest forecast from JTWC shows Phailin hitting land on Saturday near Brahmapur, India, at the strength of a category 5 hurricane. That forecast may, in fact, be conservative. Waters over the Bay of Bengal are exceptionally warm right now—more than 28°C, which is the generally agreed upon threshold above which rapid intensification of tropical cyclones is most likely. Two reasons why Phailin may pack a particularly hefty punch: an ample finish to the 2013 monsoon season has saturated soils along India’s coastline, aggravating Phailin’s flooding potential. Plus, a just-completed ‘eyewall replacement cycle’ could act to further grow Phailin’s size and extent of storm surge damage. "
